Channel,delta,theta,alpha,beta,gamma,max_energy_band,Frontal Lobe,Temporal Lobe,Parietal Lobe,Occipital Lobe,Central Region
Fp1,2.0300580910554414e-09,2.211036117201925e-10,6.416460912897573e-11,1.1028033320438153e-10,9.57853806000851e-11,delta,1,0,0,0,0
Fz,3.208790997383051e-10,3.909090260514051e-11,3.57273789595539e-11,6.911539782758858e-11,6.088619129936782e-11,delta,1,0,0,0,0
F3,2.881493614660522e-10,3.6747901607605046e-11,3.90993577910013e-11,1.1012593876416181e-10,1.5019648668456525e-10,delta,1,0,0,0,0
F7,4.018918485838239e-10,5.257127779189812e-11,6.814706703318035e-11,1.544861742639798e-10,1.4911230005202738e-10,delta,1,0,0,0,0
Iz,1.1438487206816081e-10,4.1528420403393835e-11,9.585414308605182e-11,2.410118258339774e-10,1.5216936355009455e-10,beta,0,0,0,1,0
Fc5,1.2275172159141503e-10,2.17700429805461e-11,4.506256543112663e-11,9.630368783266015e-11,9.717312765162286e-11,delta,1,0,0,0,1
Fc1,7.485975030947723e-11,1.177552784708606e-11,2.027820126706342e-11,3.9481962270259194e-11,2.7060427293113708e-11,delta,1,0,0,0,1
C3,3.219780639047791e-11,8.055952446628823e-12,2.185029762290112e-11,3.877960209066267e-11,2.3012206154284274e-11,beta,0,0,0,0,1
T7,5.223837993321418e-11,2.0429000171034092e-11,7.668745812489891e-11,1.4176306168127196e-10,1.3873294843393917e-10,beta,0,1,0,0,0
Tp9,7.810057896844003e-11,3.3284893351280116e-11,7.886049265299681e-11,1.0773701894736754e-10,6.023532173290501e-11,beta,0,1,1,0,0
Cp5,2.5636858478687363e-11,1.1683955217605483e-11,4.410165661640061e-11,4.72059760088751e-11,2.2830103873034525e-11,beta,0,0,1,0,1
Cp1,4.614152106962699e-12,1.7236736296631945e-12,4.288404573011465e-12,8.791221499850272e-12,4.144238512201983e-12,beta,0,0,1,0,1
P3,3.389121747635901e-11,1.2426189031649038e-11,3.5990669839282615e-11,3.8823173079508223e-11,1.5412162816393304e-11,beta,0,0,1,0,0
P7,3.613549294857402e-11,1.3617758628276283e-11,3.959562291111187e-11,4.260662320309971e-11,1.7329437908578246e-11,beta,0,0,1,0,0
O1,5.011228247094715e-11,1.8030513589761844e-11,4.389700058483528e-11,9.398247762855026e-11,5.508817223596476e-11,beta,0,0,0,1,0
Oz,4.985018863452705e-11,1.8064797233076746e-11,4.398422770122143e-11,9.51316548152658e-11,5.581277910947972e-11,beta,0,0,0,1,0
O2,5.888718220084987e-11,3.0165306194544623e-11,8.396064675137494e-11,2.2929308508270773e-10,1.4599047930671992e-10,beta,0,0,0,1,0
P4,1.611385326173038e-11,6.299777057803251e-12,2.003622725240666e-11,3.583134026036534e-11,1.7662581973340807e-11,beta,0,0,1,0,0
P8,3.942968477863306e-11,1.7002716947212407e-11,4.725866574076171e-11,9.536169090676012e-11,5.245453768830044e-11,beta,0,0,1,0,0
Tp10,6.977863377378023e-11,2.0944014377417738e-11,4.76628972153331e-11,6.95461008312115e-11,3.439500597711347e-11,delta,0,1,1,0,0
Cp6,2.8243829159994713e-11,1.03744285272916e-11,2.7012478329395215e-11,3.526439052993426e-11,1.5525718721997144e-11,beta,0,0,1,0,1
Cp2,4.045460723152035e-12,1.4564092479293363e-12,3.0974722297657787e-12,4.969393672224576e-12,2.2887244850106255e-12,beta,0,0,1,0,1
Cz,1.7609321978281676e-11,3.3108492994778545e-12,7.124473046015325e-12,1.1779904746862373e-11,5.795362682554239e-12,delta,0,0,0,0,1
C4,2.7922847232634978e-11,7.962876661192234e-12,1.9994010183727705e-11,3.4483099102587624e-11,2.4881336498346826e-11,beta,0,0,0,0,1
T8,8.386311700864234e-11,1.9960245907723073e-11,5.297466954164129e-11,1.8219034758761992e-10,2.823793591114418e-10,gamma,0,1,0,0,0
Ft10,3.9481660250859244e-10,4.951779764797438e-11,6.726812474933183e-11,1.0316343493911565e-10,6.998409436630854e-11,delta,1,1,0,0,0
Fc6,8.438761188258203e-11,1.845533780292467e-11,4.024914255193627e-11,6.612496904994816e-11,4.730507992566809e-11,delta,1,0,0,0,1
Fc2,8.653965439166575e-11,1.2946819645590755e-11,2.1937533417842937e-11,3.781740013781757e-11,2.3939009786594624e-11,delta,1,0,0,0,1
F4,3.1324470859188686e-10,3.820416078247684e-11,4.145421838996692e-11,1.1650577659212484e-10,1.3976074296299265e-10,delta,1,0,0,0,0
F8,1.839531094772208e-10,3.071980766649864e-11,5.6233363922125694e-11,1.3420038114859332e-10,1.3447695784917486e-10,delta,1,0,0,0,0
