Channel,delta,theta,alpha,beta,gamma,max_energy_band,Frontal Lobe,Temporal Lobe,Parietal Lobe,Occipital Lobe,Central Region
Fp1,3.2946326938021146e-09,3.4189063724666337e-10,2.3513357777894904e-10,2.72604297970458e-10,1.3301542870894408e-10,delta,1,0,0,0,0
Fz,3.7752808965741737e-10,1.0733582712852561e-10,1.667453598975826e-10,8.070977151035291e-11,1.9578456000322163e-11,delta,1,0,0,0,0
F3,4.83902116916247e-10,1.1415831559413157e-10,1.7964626711925043e-10,1.3051462606810513e-10,5.1497087592583714e-11,delta,1,0,0,0,0
F7,4.2143516687044475e-10,1.1512402175563606e-10,1.9806421059153611e-10,9.660375578945006e-11,4.0595541127355265e-11,delta,1,0,0,0,0
Iz,8.723418096118866e-11,5.34952554962837e-11,6.63266061491579e-11,4.5695044780652604e-11,2.433902786989862e-11,delta,0,0,0,1,0
Fc5,1.6467437270821723e-10,8.991661533356519e-11,1.7770740122391205e-10,9.063069385983085e-11,4.4631899929628414e-11,alpha,1,0,0,0,1
Fc1,1.363381574808957e-10,7.392668843038309e-11,1.2418493832640611e-10,6.141809829699902e-11,1.474553935626874e-11,delta,1,0,0,0,1
C3,7.51223267047044e-11,5.307221446233402e-11,1.1756918532762083e-10,4.811023668837454e-11,1.6402112896471927e-11,alpha,0,0,0,0,1
T7,1.0762781301123295e-10,8.004497202387907e-11,1.827531608348572e-10,1.0494721180985492e-10,6.794851530761528e-11,alpha,0,1,0,0,0
Tp9,8.557781223081819e-11,7.420310748686305e-11,1.2571526844590661e-10,5.3042751303727153e-11,1.983499099146795e-11,alpha,0,1,1,0,0
Cp5,5.0930220892671355e-11,4.6444042172550474e-11,9.989504437548615e-11,3.538548056047354e-11,1.4051660392386865e-11,alpha,0,0,1,0,1
Cp1,6.563964942036934e-11,3.1597531467309343e-11,4.6324490700506104e-11,2.5524141740340263e-11,7.407481090184363e-12,delta,0,0,1,0,1
P3,8.525220402943954e-14,1.0462927215362385e-13,1.4033579180909946e-13,4.399814067901602e-13,3.8586128585080665e-13,beta,0,0,1,0,0
P7,2.6063907108161686e-11,3.18987921883894e-11,5.543785884469689e-11,2.0268801435970415e-11,6.407094076471877e-12,alpha,0,0,1,0,0
O1,1.03828681131681e-10,5.4524144986651035e-11,6.487659127074883e-11,4.435295590121243e-11,2.347418600327326e-11,delta,0,0,0,1,0
Oz,8.692243109876977e-11,5.338364412291608e-11,6.621971533547624e-11,4.564206497786504e-11,2.4288424676703508e-11,delta,0,0,0,1,0
O2,7.162445852150635e-11,4.877225810447645e-11,7.018654632442046e-11,4.872779448443963e-11,3.138402012754947e-11,delta,0,0,0,1,0
P4,4.550354044623336e-11,2.8767123831212954e-11,5.4459270824497326e-11,2.24904204802264e-11,6.19017978451398e-12,alpha,0,0,1,0,0
P8,4.304325969582423e-11,3.731566338700708e-11,7.071765302143804e-11,2.963750318180733e-11,8.544669709045129e-12,alpha,0,0,1,0,0
Tp10,1.2265587086213274e-10,8.598386884585175e-11,1.329311778499752e-10,1.1199821075958966e-10,4.6902498265261896e-11,alpha,0,1,1,0,0
Cp6,4.032474470558454e-11,4.8705665688318356e-11,1.0493716263681072e-10,4.886431310107002e-11,1.354845883162733e-11,alpha,0,0,1,0,1
Cp2,2.681596149856352e-11,2.2338483115986717e-11,5.462121393984254e-11,1.8755267892228722e-11,3.7840741653176385e-12,alpha,0,0,1,0,1
Cz,6.29081996445672e-11,4.3978553299189855e-11,8.13983168494409e-11,3.4614321668589685e-11,7.491758343395005e-12,alpha,0,0,0,0,1
C4,7.867755099549415e-11,5.406816737290848e-11,1.1532394164023512e-10,4.834029473529795e-11,1.3322915998507096e-11,alpha,0,0,0,0,1
T8,9.307044876778087e-11,7.600864746456599e-11,1.5520280726745661e-10,6.633555356555526e-11,2.122929476412786e-11,alpha,0,1,0,0,0
Ft10,1.0341344645017607e-10,9.055424876299597e-11,1.7472020019417122e-10,7.770468468675796e-11,2.8064244266522342e-11,alpha,1,1,0,0,0
Fc6,1.462676529125664e-10,8.012098681735945e-11,1.5424883077924748e-10,7.049150663020574e-11,2.5157656730037892e-11,alpha,1,0,0,0,1
Fc2,1.47107087576904e-10,7.32010891106223e-11,1.230416140038846e-10,6.436082983254214e-11,1.6390962596641076e-11,delta,1,0,0,0,1
F4,3.8031525054438113e-10,1.0246809798649925e-10,1.6946987005280116e-10,1.047194696103753e-10,3.6280389264935024e-11,delta,1,0,0,0,0
F8,3.921987294349906e-10,1.0599204948296189e-10,1.8260292633206263e-10,7.7143689159188e-11,2.493933397063182e-11,delta,1,0,0,0,0
Fp2,3.344103803663231e-09,3.76773548050626e-10,2.348061499918329e-10,2.6713164066596513e-10,1.6045504666085672e-10,delta,1,0,0,0,0
Af7,1.7656594263724776e-09,2.1584356046657535e-10,2.25067598091091e-10,3.6167888031644783e-10,1.6576761732251555e-10,delta,1,0,0,0,0
Af3,1.1840462582354603e-09,1.7402073863111896e-10,2.1072370461002628e-10,1.668196332348888e-10,9.161997605775233e-11,delta,1,0,0,0,0
Afz,1.0552087062354652e-09,1.6829085684454155e-10,2.0041991890660973e-10,9.552836323976234e-11,3.131894011134941e-11,delta,1,0,0,0,0
F1,3.780802186795429e-10,1.0749821769274054e-10,1.6681485465231413e-10,8.081132256106949e-11,1.9576930591286325e-11,delta,1,0,0,0,0
F5,4.595280059448924e-10,1.1575660537686715e-10,1.942629076584856e-10,9.441736362324655e-11,4.068227713561986e-11,delta,1,0,0,0,0
Ft7,1.436923694217668e-10,9.950655176138755e-11,2.0318379677950154e-10,1.0586828191616304e-10,5.3850027317732374e-11,alpha,1,1,0,0,0
Fc3,1.3035897166384445e-10,7.559239560143373e-11,1.3734342853286386e-10,7.452767334496227e-11,2.4293578370379886e-11,alpha,1,0,0,0,1
C1,6.297393512983739e-11,4.3837117165997375e-11,8.126594756296116e-11,3.43497458325596e-11,7.378644192125802e-12,alpha,0,0,0,0,1
C5,9.23271489044048e-11,6.930691369518382e-11,1.4480977320530337e-10,5.6747488137442504e-11,2.399272106432123e-11,alpha,0,0,0,0,1
Tp7,6.18816301760401e-11,6.137595641265894e-11,1.287906720525393e-10,4.659077541828646e-11,1.9511080551784918e-11,alpha,0,1,1,0,0
Cp3,4.8892295096959506e-11,3.531189761902212e-11,7.499915101492431e-11,3.012790948842442e-11,8.770176218804197e-12,alpha,0,0,1,0,1
P1,8.379775664934142e-14,9.188178520783801e-14,1.1982148821680694e-13,3.7983571526032667e-13,3.350865050057892e-13,beta,0,0,1,0,0
P5,2.6007577071347927e-11,3.1893932698316976e-11,5.538409434148575e-11,2.0266632352032633e-11,6.342275439242013e-12,alpha,0,0,1,0,0
Po7,5.4459452836880545e-11,3.955509964218644e-11,5.84708280790015e-11,2.6556964133956913e-11,1.0427319313715037e-11,alpha,0,0,0,1,0
I1,8.710933983885006e-11,5.34524540814693e-11,6.626114007386958e-11,4.568489074398412e-11,2.4324591539767484e-11,delta,0,0,0,1,0
Poz,8.665973253715059e-11,5.3286568446773174e-11,6.617630690444966e-11,4.547421287523636e-11,2.422111923698863e-11,delta,0,0,0,1,0
I2,7.173496166488565e-11,4.886805370423723e-11,7.042861889459676e-11,4.8865454586145915e-11,3.124769173238206e-11,delta,0,0,0,1,0
Po8,1.180060777180653e-10,4.2326631923500145e-11,6.582787376353856e-11,3.616608236589061e-11,1.9261909523053818e-11,delta,0,0,0,1,0
P6,4.29754555560943e-11,3.726859249271713e-11,7.069006524328662e-11,2.966898506930208e-11,8.532701118413143e-12,alpha,0,0,1,0,0
P2,3.881141063401317e-13,3.433455877431149e-13,6.439669782379203e-13,6.779502892457508e-13,4.4355624466615557e-13,beta,0,0,1,0,0
Cpz,4.0391956371975296e-11,2.2431505683916204e-11,3.124816956526311e-11,1.683534890603554e-11,4.513882161029163e-12,delta,0,0,1,0,1
Cp4,3.2018966300713564e-11,2.8874381719520595e-11,6.943922253475378e-11,2.7181640542600655e-11,6.971469853165695e-12,alpha,0,0,1,0,1
Tp8,4.0386111024186825e-11,4.880822838868768e-11,1.0511694894019876e-10,4.902520675446662e-11,1.3644950188126894e-11,alpha,0,1,1,0,0
C6,6.652055492929411e-11,5.533647051657968e-11,1.1790831639366784e-10,4.745663666754096e-11,1.3287066141645188e-11,alpha,0,0,0,0,1
C2,6.489529255427447e-11,4.404880470080167e-11,8.638215244627905e-11,3.547302498896509e-11,8.228539426888574e-12,alpha,0,0,0,0,1
Fc4,1.4698093066883183e-10,7.476415623840957e-11,1.3450530150627887e-10,7.647666960572719e-11,2.4648321364277815e-11,delta,1,0,0,0,1
Ft8,9.302338301842359e-11,7.598882501986982e-11,1.5524512014023961e-10,6.640222608455342e-11,2.120321509570696e-11,alpha,1,1,0,0,0
F6,3.9348004779592435e-10,1.0561244205484881e-10,1.8119909543773285e-10,7.741712092170235e-11,2.5219388375946105e-11,delta,1,0,0,0,0
Af8,3.3086133079031822e-09,3.72897160038717e-10,2.3424723481473825e-10,2.62155092384144e-10,1.5640338336318377e-10,delta,1,0,0,0,0
Af4,1.2360904991894982e-09,1.8210140846307846e-10,2.1650872559029557e-10,2.4156261339850865e-10,1.550218882264293e-10,delta,1,0,0,0,0
F2,3.803352491432138e-10,1.0248692188708197e-10,1.6938359864429714e-10,1.0495962105519523e-10,3.630366423079653e-11,delta,1,0,0,0,0
Fcz,9.297569335625214e-11,5.63490394842651e-11,9.693321969163955e-11,4.38343193129536e-11,1.0187645257016225e-11,alpha,1,0,0,0,1
