start_node,end_node,weight
Fp1,F3,0.36657673172004074
Fp1,Fc5,0.2607078529636214
Fp1,Cp1,0.1497815307526414
Fp1,P7,0.20952532994609677
Fp1,Oz,0.17147471150791294
Fp1,Cp2,0.1638081309807161
Fp1,Cz,0.20974725395797839
Fp1,F1,0.13753560962828645
Fp1,C1,0.213924919561684
Fp1,P1,0.16776878440010096
Fp1,Po8,0.1505532202965001
Fp1,P2,0.14064478176691236
Fp1,Af4,0.17127440768556929
Fp1,F2,0.15260199155995693
Fp1,Fcz,0.15332677376098358
Fz,P4,0.14210056162039797
Fz,Cz,0.14923818480010406
Fz,Afz,0.20246016241654022
Fz,F1,0.27267416851926474
Fz,F2,0.1809303092413302
Fz,Fcz,0.2574457797930117
F3,Fz,0.1482673851841383
F3,Fc1,0.17139512209097096
F3,P4,0.14745811420428306
F3,Cz,0.16087603517363977
F3,Af3,0.21286529833400294
F3,Afz,0.15826046317926568
F3,F1,0.36963192822784974
F3,Ft7,0.18441227362810786
F3,Fc3,0.2837591670163821
F3,Fcz,0.16515032508831995
F7,F3,0.35425795658900533
F7,Fc5,0.2755954915799061
F7,Fc1,0.15069156782862403
F7,T7,0.16358174363529343
F7,Cp2,0.15411803540501132
F7,Cz,0.13904798495211057
F7,F5,0.3588443907305131
F7,Fc3,0.36641571872557727
F7,Tp7,0.16890977071869098
Iz,Tp9,0.15664222157403027
Iz,Oz,0.1398189933529784
Iz,Tp10,0.15057526368571086
Iz,Cp6,0.14100691617819472
Iz,Po7,0.16213551009594818
Iz,I1,0.19230517096413205
Iz,Poz,0.14497340314279314
Iz,C2,0.14035820227167498
Fc5,C3,0.24113890805277358
Fc5,Tp9,0.1549080485293459
Fc5,F1,0.20305675410385807
Fc5,Ft7,0.1989335720854539
Fc5,C5,0.17348075617127579
Fc5,Tp7,0.1438767442994612
Fc1,C3,0.14065944912382605
Fc1,F1,0.20353910425346902
Fc1,Fcz,0.19970447914794237
C3,Fc3,0.17402988206055645
C3,Cp3,0.21464249388992185
T7,C3,0.16156700282657818
T7,Tp9,0.28140727105526514
T7,Cp5,0.34480662155988767
T7,Oz,0.17250301619264666
T7,Ft7,0.14517238089084797
T7,C5,0.33620257034842965
T7,Tp7,0.40211505158445365
T7,Cp3,0.21255277410135506
Tp9,Iz,0.1420550259629387
Tp9,Cp5,0.21298380099198005
Tp9,I2,0.13875466051734153
Cp5,C3,0.25540997094225115
Cp5,Cp2,0.14039794769518693
Cp5,Tp7,0.15928017512020248
Cp5,Cp3,0.3199439285977603
Cp1,Cp3,0.18471825367729072
P3,Cp3,0.1928421031034546
P3,P5,0.1471443954230797
P7,Iz,0.14163800988751354
P7,Cp3,0.1746184994513562
P7,P5,0.17246669950093016
P7,Po7,0.13891949402689535
O1,Oz,0.19399931851035446
O1,I1,0.1663870036258316
Oz,O1,0.16817285805344023
Oz,I1,0.1704360833962041
O2,Iz,0.40351906602220244
O2,P4,0.2027346391051185
O2,Tp10,0.16313304345664087
O2,I1,0.277012556729597
O2,I2,0.4596111094870805
O2,Po8,0.14338582864183091
O2,P6,0.14307191540189249
O2,P2,0.20691565024068134
P4,P2,0.36699362907148564
P8,Iz,0.22162084970164986
P8,P4,0.23595329662835252
P8,I2,0.24508368684706622
P8,P6,0.1435479504546349
P8,P2,0.2499630696702875
P8,Cpz,0.1407825359745366
Tp10,Cp1,0.1523479522914681
Tp10,P6,0.14454303803827356
Cp6,Cp1,0.142644891217662
Cp2,C2,0.17280323105359752
C4,Fc2,0.21061621601312377
C4,Cpz,0.14211829172720705
C4,Cp4,0.2024588931992962
C4,C2,0.30432741949241743
T8,Cp1,0.16750512307374882
T8,P3,0.16744663848939417
T8,P7,0.1405559871670477
T8,P8,0.1427131655617376
T8,Tp10,0.2804367846587026
T8,Cp6,0.22369406427705427
T8,Ft10,0.2211826238541132
T8,Fc2,0.16816254371574815
T8,Tp7,0.1413688855919462
T8,Po7,0.15027343159382642
T8,P6,0.1712756774230772
T8,Tp8,0.16732509735679205
T8,C6,0.13744596606722012
T8,C2,0.1723660671416723
Ft10,Tp10,0.15724055929340233
Ft10,Cp6,0.22088023461509504
Ft10,Cp2,0.15932461606367512
Ft10,C4,0.14450441034060807
Ft10,Cp3,0.15203187933479137
