start_node,end_node,weight
Fp1,O1,0.17677030845706818
Fp1,Oz,0.21294860192362042
Fp1,P4,0.15127379574258892
Fp1,P8,0.14993658078063743
Fp1,Fp2,0.2527616816447751
Fp1,Af7,0.23896908263082295
Fp1,Af3,0.1724159381306296
Fp1,Poz,0.18505303026418407
Fp1,P2,0.14423665993158313
Fp1,Af4,0.15628369790070906
Fp1,Fcz,0.14291235395927795
Fz,Fc1,0.14423159718587295
Fz,F1,0.17078963621796214
Fz,Fcz,0.24234319301206125
F3,Fz,0.2404585012554945
F3,Fc5,0.20427027694349523
F3,Fc1,0.293677252764803
F3,O1,0.14916799160525232
F3,P4,0.16667267971200017
F3,Afz,0.1500991566491149
F3,F1,0.2740945813212817
F3,F5,0.18094719508382792
F3,Ft7,0.1726456980184792
F3,Fc3,0.15016973128440492
F3,P2,0.14261188182115744
F3,Fcz,0.20299523767568597
F7,Fp1,0.23513315535845494
F7,F3,0.2935361321177678
F7,Fc5,0.16434342944640357
F7,Tp9,0.15355874095874086
F7,O1,0.14824705600336943
F7,P4,0.15345913776688322
F7,Af7,0.1762657459664405
F7,F5,0.32155113567889965
F7,Ft7,0.24139752960893474
F7,P1,0.1415177542372757
F7,P2,0.15863820360222916
Iz,Tp10,0.14786973662219582
Iz,Po7,0.1499726039358372
Iz,I1,0.1607699380280452
Iz,Cpz,0.14577785205809388
Fc5,Fz,0.2712030092188709
Fc5,F3,0.46646566030603714
Fc5,Fc1,0.3484698359255564
Fc5,C3,0.2285307811402387
Fc5,Tp9,0.1655293588827157
Fc5,P4,0.2113541557681896
Fc5,T8,0.2573828916414338
Fc5,Afz,0.1614377565711383
Fc5,F1,0.2491638697141913
Fc5,F5,0.15219409557944893
Fc5,Ft7,0.15106202068404878
Fc5,Fc3,0.16786739921627603
Fc5,C1,0.23220310841252262
Fc5,C5,0.1598306979465502
Fc5,Cp3,0.20031529984710014
Fc5,P2,0.14658764938472366
Fc5,Ft8,0.20767071143825322
Fc5,Fcz,0.16358251002783605
Fc1,Fz,0.1797027854365789
Fc1,F1,0.2199028653785958
Fc1,Ft7,0.17135289814519397
Fc1,Fc3,0.21027468311628394
Fc1,C1,0.1785771752320716
Fc1,Fcz,0.22474303130231502
C3,Fc1,0.29195057315464545
C3,Cp5,0.15535692300181214
C3,Cp1,0.2369916797549225
C3,F1,0.19360795248345905
C3,Ft7,0.34626830012646737
C3,Fc3,0.26587642070973877
C3,C1,0.3536584008572894
C3,C5,0.36348025117270905
C3,Cp3,0.3278987294231698
C3,P2,0.14886533086368597
T7,Tp9,0.15826271573732584
T7,Cp5,0.14740239737651867
T7,P8,0.22370132406774584
T7,C5,0.24300954951026646
T7,Cp3,0.2216319461538423
T7,Poz,0.15537976257005987
T7,P6,0.22546289065028005
Cp5,T7,0.20528955379554625
Cp5,Cp1,0.1715709526965094
Cp5,P3,0.16134619802156777
Cp5,C1,0.1696713850030231
Cp5,Cp3,0.15992763430434334
Cp1,C1,0.15094788666480258
P3,P5,0.14611040944554746
P7,P3,0.15712043698159633
P7,Po7,0.14149101930744587
Oz,Poz,0.22115085763597642
Oz,Cpz,0.14131530302150339
O2,Cpz,0.1453945378593323
P4,Cp4,0.1635262295196022
P8,O2,0.157643515044068
P8,P4,0.1482054027326036
P8,Po7,0.1510030459787362
P8,I2,0.22894479518173755
P8,Po8,0.14365625842492843
P8,P6,0.295879639068629
Tp10,Iz,0.26563290790491384
Tp10,P7,0.1478301816213429
Tp10,O1,0.24343790644860608
Tp10,Oz,0.17493578472011515
Tp10,O2,0.4639014087241093
Tp10,Po7,0.288145820497251
Tp10,I1,0.4164661647813255
Tp10,I2,0.6412651525868421
Tp10,Po8,0.4087127070523409
Tp10,Tp8,0.3850576598440582
Cp6,O2,0.16507359648227007
Cp6,Tp10,0.17295665842176602
Cp6,I2,0.1897703302072066
Cp6,Cp4,0.26795434362568155
Cp6,C6,0.18738642703196998
Cp2,Cp4,0.17508821887679668
Cz,Fcz,0.16982892195857693
C4,Oz,0.14105337334702842
C4,Tp10,0.19380266826060774
C4,Cp6,0.19206600293904227
C4,Fc6,0.1647078877102364
C4,Cp4,0.311535087998883
C4,C6,0.15664975186605268
C4,Ft8,0.22346430487418628
T8,O2,0.1950902538353117
T8,Tp10,0.221440510486809
T8,Cp6,0.2564414114478934
T8,Cp4,0.16700619159486435
T8,C6,0.24235854043436245
T8,Ft8,0.24468663252117862
Ft10,O2,0.16708162204818214
Ft10,Tp10,0.15034846287633669
Ft10,Cp6,0.15877021393856952
Ft10,Ft8,0.24518658389765935
Fc6,P8,0.16910938243568424
Fc6,Tp10,0.1802833501759719
Fc6,Cp6,0.15303259393421603
Fc6,T8,0.17053391917889862
Fc6,Ft10,0.2190814731422507
Fc6,Fc2,0.1971237521359389
Fc6,F8,0.3381641665808622
Fc6,Afz,0.22165041822593032
Fc6,Cp4,0.22411011174662485
Fc6,C6,0.4758504947750126
Fc6,Fc4,0.19347953785152636
Fc6,F2,0.14467538548351763
Fc2,Fz,0.19089792605899092
Fc2,Oz,0.14911218846778695
Fc2,C4,0.2053158521335191
Fc2,Fc6,0.16670190523610945
Fc2,F4,0.14125233700869624
Fc2,Fc4,0.15392776035427613
Fc2,Fcz,0.31191215192941985
F4,Fz,0.31186317846484946
F4,Oz,0.15878371498705987
F4,P8,0.1706567648000505
F4,T8,0.18509468868085197
F4,Ft10,0.4214110386927167
F4,F8,0.39000858163936103
F4,Fp2,0.5254492262526155
F4,Afz,0.4252560821685311
F4,P1,0.17246187726449988
F4,Poz,0.1881614914893594
F4,P6,0.14986171284165178
F4,C6,0.16690524371295687
F4,Fc4,0.14654654311491128
F4,F6,0.44903220141731814
F4,Af8,0.3963525585791754
F4,Af4,0.3057386822746436
F8,Oz,0.14192008627865027
F8,Cp6,0.168256214812714
F8,C4,0.23438251768939378
F8,Fc6,0.2172386385801166
F8,Fc2,0.2612641641784792
F8,P1,0.1458588070639994
F8,Poz,0.14828606913854514
F8,P2,0.1568646440108254
F8,Fc4,0.14333043296807227
F8,Ft8,0.3739457507547832
Fp2,Fp1,0.5345393045704185
Fp2,O1,0.1414444657899083
Fp2,Oz,0.2614536132196593
Fp2,P8,0.1854713985436172
Fp2,Fc2,0.16607446872182988
Fp2,Af7,0.1627130722808332
Fp2,Af3,0.2507531982846534
Fp2,Poz,0.26651408563470885
Fp2,P6,0.14536133514960056
Fp2,P2,0.17090229749408614
Fp2,Af4,0.335096098731348
Fp2,F2,0.1808810120500195
Af7,Fp1,0.433090528566107
Af7,O1,0.1975274232874853
Af7,P4,0.19009564432321946
Af7,Fp2,0.18690736359539595
Af7,Po7,0.14814698447825453
Af7,P6,0.14467966397520027
Af7,P2,0.14642536763024314
Af7,C2,0.3377306003010262
Af3,Fp1,0.21368452609200692
Af3,Fz,0.16018875340284364
Af3,O1,0.16462162002160485
Af3,P4,0.15140420504113578
Af3,Af7,0.16599611428845615
Af3,F1,0.180667952632078
Af3,P2,0.1459604494607541
Af3,Fcz,0.14916855095903214
Afz,Fp1,0.17910207032002945
Afz,Fz,0.20313897993639538
Afz,O1,0.14951929505656536
Afz,Af3,0.16959554749931083
Afz,F1,0.15672848389187102
Afz,P2,0.14391686742854828
Afz,Af4,0.16319925950797023
Afz,Fcz,0.16871265485811526
F1,Fz,0.22355147685266197
F1,F3,0.14467474653470588
F1,Fc1,0.2310374516170346
F1,O1,0.1435106526700237
F1,Fcz,0.20725665745015884
F5,Fp1,0.18329900485723924
F5,Fz,0.22823711458049822
F5,F3,0.39163338467853565
F5,Fc5,0.23422683717009157
F5,Fc1,0.27837735796424573
F5,Cp5,0.1455793499408075
F5,O1,0.16313320747150398
F5,P4,0.20306308955966548
F5,T8,0.30320558454848057
F5,Afz,0.194727089373576
F5,F1,0.2921957504698771
F5,Ft7,0.16391858048524055
F5,C5,0.17067101969572251
F5,Po7,0.16605720895111384
F5,Poz,0.16038943808521336
F5,P2,0.16688498741547467
F5,Ft8,0.24132179461278394
F5,Fcz,0.19302794526281342
Ft7,Fc5,0.3057680057891935
Ft7,T7,0.24260889518582207
Ft7,Tp9,0.19280368647633067
Ft7,Cp5,0.15125337114693607
Ft7,O1,0.14917324039178945
Ft7,Oz,0.1426677685021945
Ft7,P8,0.2818969572761223
Ft7,Fc3,0.17001731107789514
Ft7,C5,0.2121441661124175
Ft7,Cp3,0.15891400834495073
Ft7,Poz,0.18475030229804804
Ft7,P6,0.2778119106652646
Ft7,P2,0.14996894980505793
Fc3,Fz,0.2555115610771931
Fc3,F3,0.23977255303846992
Fc3,Fc5,0.4455656103047776
Fc3,Fc1,0.44930879635727217
Fc3,F1,0.3592569762560877
Fc3,Ft7,0.4834214696222815
Fc3,C1,0.2826452229600434
Fc3,Fcz,0.18511125274267104
C1,Fc1,0.1658960822177973
C1,Cz,0.18601094561137288
C1,Fc3,0.14422430325925215
C5,Fc5,0.17800907824181278
C5,Fc1,0.1799474529567806
C5,C3,0.1461001089536548
C5,T7,0.39135447464546014
C5,Tp9,0.3529233340003439
C5,Cp5,0.27204452529181505
C5,Cp1,0.2658513142964387
C5,P3,0.18477571627365683
C5,P7,0.1740374952356762
C5,C1,0.29062308657111624
C5,P5,0.1900007834058462
C5,P2,0.16355846913902988
Tp7,Tp9,0.17468898325106522
Tp7,Cp5,0.15285043166072193
Tp7,P3,0.17395550062322435
Cp3,C3,0.14214113802299574
Cp3,Cp1,0.23350916623626145
Cp3,P3,0.1625545651870295
Cp3,C1,0.21680628207395256
