start_node,end_node,weight
Fc5,Fc3,0.16833989040395708
Fc5,P3,0.1924433237086979
Fc5,P8,0.24907084565847365
Fc5,Poz,0.16386049678244105
Fc5,Po4,0.41448534098276774
Fc5,Po8,0.18933905879574067
Fc5,Oz,0.4279538016148437
Fc5,Iz,0.4547584176186724
Fc3,P3,0.1641917674230316
Fc3,P8,0.18659043963335395
Fc3,Poz,0.17074028523467855
Fc3,Po4,0.333409300768138
Fc3,Po8,0.1748930646831711
Fc3,Oz,0.4625588212374919
Fc3,Iz,0.4623195595927405
Fc1,Cp6,0.17092547384199602
Fc1,P8,0.16346902565755808
Fc1,Poz,0.17560819406319392
Fc1,Po4,0.29896715331529494
Fc1,Po8,0.18847840030617982
Fc1,Oz,0.49754973993535345
Fc1,Iz,0.4839484906629068
Fcz,Cp6,0.1926989323394172
Fcz,Fz,0.17171291800832314
Fcz,P4,0.18998833396588233
Fcz,Poz,0.16398984481628281
Fcz,Po4,0.24523647969531956
Fcz,Po8,0.1831896600408814
Fcz,Oz,0.5222432213140425
Fcz,Iz,0.5042959692664999
Fc2,C4,0.19691320099844614
Fc2,Cp6,0.21071521462371126
Fc2,P4,0.22883400072322324
Fc2,Po4,0.22104146657779697
Fc2,Po8,0.17575435097200642
Fc2,Oz,0.5121314909422758
Fc2,Iz,0.5004197835631319
Fc4,C4,0.24061798698751652
Fc4,Cp6,0.22436701807601891
Fc4,P4,0.2553628443951139
Fc4,Po4,0.20200530998417351
Fc4,Po8,0.1656230031018173
Fc4,Oz,0.5074827409018775
Fc4,Iz,0.5023781435253882
Fc6,C4,0.25419040450759467
Fc6,Cp6,0.22807203458434894
Fc6,F4,0.1741361957644098
Fc6,P4,0.2657000876265606
Fc6,Po4,0.1894398032296655
Fc6,Po8,0.16614585854264635
Fc6,Oz,0.4808653751967358
Fc6,Iz,0.48835612671224304
C5,P3,0.20269907338994708
C5,P8,0.23730298996222818
C5,Po4,0.34798646640043324
C5,Oz,0.4876768600941765
C5,Iz,0.4902522787164833
C3,P3,0.1988082804889657
C3,P1,0.1651431074402738
C3,P8,0.2008416613882793
C3,Po4,0.3027653184363711
C3,Oz,0.5155528138324673
C3,Iz,0.5057086538452547
C1,P1,0.16970016920688824
C1,P8,0.18355542325809712
C1,Poz,0.1673301566710395
C1,Po4,0.2634327710998936
C1,Oz,0.5400294046801305
C1,Iz,0.5198236367230933
Cz,Cp6,0.18034870248215693
Cz,P4,0.18115218460699942
Cz,Po4,0.23105439333793112
Cz,Oz,0.5687960039665951
Cz,Iz,0.5400528878953346
C2,C4,0.189968009282201
C2,Cp6,0.20117006626559744
C2,P4,0.23545844385059955
C2,Po4,0.20382007895301105
C2,Oz,0.5515876138297469
C2,Iz,0.5264256224847952
C4,Cp6,0.2065656566242179
C4,P4,0.2631784852968477
C4,Po4,0.1719297073257378
C4,Oz,0.5402764934327612
C4,Iz,0.5245982751340528
C6,C4,0.19265521937385818
C6,Cp6,0.20484322821501838
C6,P4,0.25503326586348074
C6,Oz,0.5284031506381115
C6,Iz,0.5177556453579852
Cp5,P3,0.19202515547521581
Cp5,P8,0.21121474119426076
Cp5,Po4,0.2926179868705527
Cp5,Oz,0.5158489786677206
Cp5,Iz,0.47582472349304406
Cp3,P3,0.18171763738916985
Cp3,P1,0.19924007260479218
Cp3,P8,0.19356449657902844
Cp3,Po4,0.24612807608151901
Cp3,Oz,0.5172762721942868
Cp3,Iz,0.48451783038947854
Cp1,P1,0.21761673767007456
Cp1,P8,0.18413118116226965
Cp1,Po4,0.23462832010010262
Cp1,Oz,0.5424597287230042
Cp1,Iz,0.5068685336781393
Cpz,P1,0.17528713599787013
Cpz,P8,0.1799177199778723
Cpz,Po4,0.22228720382039444
Cpz,Oz,0.549304232611692
Cpz,Iz,0.5114771114976343
Cp2,P4,0.19764159293101421
Cp2,P8,0.18315452993752368
Cp2,Po4,0.22848543065037108
Cp2,Oz,0.5612465908529198
Cp2,Iz,0.531510584342011
Cp4,Cp6,0.17765121075928905
Cp4,P4,0.2468590111811985
Cp4,P8,0.16546462791587938
Cp4,Po4,0.19595811561575385
Cp4,Oz,0.5714828428700776
Cp4,Iz,0.5471152435467369
Cp6,P4,0.2201030510516484
Cp6,Po4,0.1759699972038577
Cp6,Oz,0.618756645792617
Cp6,Iz,0.574065621194527
Fp1,Fc3,0.19298096064631265
Fp1,Fcz,0.1683086702860758
Fp1,Fz,0.21192756473759308
Fp1,P4,0.1635469269837593
Fp1,P6,0.16420773926484758
Fp1,P8,0.16645689746156783
Fp1,Poz,0.199328380450813
Fp1,Po4,0.38685412009393494
Fp1,Po8,0.3034147281595008
