start_node,end_node,weight
Fc5,Cp2,0.15448882576046447
Fc5,Cp4,0.16514961247548332
Fc5,F3,0.333796159850483
Fc5,Ft7,0.24717860287689045
Fc5,P3,0.1800377901897824
Fc3,Fc5,0.15614431691494876
Fc3,C3,0.23704181983168476
Fc3,Cp2,0.1639917779489038
Fc3,F3,0.15732376493389846
Fc3,F1,0.19221968013251092
Fc3,Fz,0.1531407179637202
Fc3,P3,0.17702538154568986
Fc1,Cp6,0.16113293223138886
Fc1,F1,0.21268208979317407
Fc1,Fz,0.2610637766636064
Fc1,P4,0.15772898182050554
Fcz,Fc4,0.1545145738614753
Fcz,C4,0.15410417773132473
Fcz,Cp6,0.1759686979456768
Fcz,Afz,0.16355475677608003
Fcz,Fz,0.37845684128889084
Fcz,F2,0.1944181026521486
Fcz,P4,0.16369561058974444
Fc2,C4,0.20737381959978277
Fc2,Cp6,0.19149734849822933
Fc2,Fz,0.1701059099745828
Fc2,F2,0.2295353509106055
Fc2,F4,0.17476609019734363
Fc2,P4,0.1831741884649809
Fc4,Fc6,0.17788030123260923
Fc4,C4,0.24778121265181605
Fc4,Cp6,0.19291373149392818
Fc4,F2,0.19033830995977533
Fc4,F4,0.23903223846832336
Fc4,P4,0.17661073981555095
Fc6,C4,0.2309567176849813
Fc6,Cp6,0.16437237545295744
Fc6,F4,0.2372379269444912
C5,Cp2,0.18027430575565714
C5,Ft7,0.18182221114519517
C5,P3,0.243246761092354
C5,Po7,0.19221473127216857
C3,Cp2,0.17156839110069572
C3,P3,0.2487406813074488
C3,Poz,0.18037378862430237
C1,Cp6,0.1580798987796877
C1,Fz,0.18481592277439604
C1,P3,0.18668013029518207
C1,Pz,0.1689310498186345
C1,P4,0.1843716365929594
C1,Poz,0.19775178867853016
Cz,Fcz,0.16784277920182836
Cz,Cp6,0.19538980219179516
Cz,Fz,0.18421400873522426
Cz,Pz,0.19551373881944156
Cz,P4,0.21241490293152376
Cz,Poz,0.19579223395261203
C2,C4,0.1719723566844046
C2,Cp6,0.2055645665864553
C2,P4,0.23663998738898478
C2,Poz,0.1679497142252042
C4,Cp6,0.1936202473845265
C4,P4,0.23903979479586207
C6,Fc6,0.21837851566739752
C6,C4,0.19783100334200732
C6,Cp6,0.1733946920506902
C6,P4,0.19219869375238724
Cp5,C3,0.20674158624501984
Cp5,P3,0.23944198023191524
Cp5,Poz,0.1708792947611503
Cp3,C3,0.2527043599927263
Cp3,P3,0.23025087381360074
Cp3,P1,0.17306415463668015
Cp3,Pz,0.15198132716654797
Cp3,Poz,0.2053144632340926
Cp1,P3,0.18834686379256055
Cp1,P1,0.23562287667789136
Cp1,Pz,0.18648389900749365
Cp1,P4,0.15949668013371143
Cp1,Poz,0.2060308865388221
Cpz,Fc3,0.1588328996936064
Cpz,Cz,0.18583666162780074
Cpz,C2,0.1599162767123005
Cpz,Cp6,0.1621651030065158
Cpz,Pz,0.24833682947507102
Cpz,P4,0.1998576677975984
Cpz,Poz,0.19185183995513028
Cp2,Cp6,0.17193922268538228
Cp2,Pz,0.17458837029805865
Cp2,P4,0.23929081480105585
Cp2,Poz,0.1768364306340839
Cp4,Cp6,0.18872978450744807
Cp4,P4,0.264825583804017
Cp6,P4,0.19874057928618422
Cp6,P6,0.16480944872615735
Fp1,Fc1,0.19861125535963078
Fp1,Fcz,0.2698666512345104
Fp1,Fc4,0.23728175595681752
Fp1,Fc6,0.2517497638321015
Fp1,Cp4,0.16006130486697534
Fp1,Fpz,0.4138156604839933
Fp1,Fp2,0.27979608706847586
Fp1,Af7,0.30462561288741974
Fp1,Af3,0.3090708398390563
Fp1,F7,0.16330716534929923
Fp1,F1,0.18118849898489403
Fp1,Fz,0.36405454357612166
Fp1,F2,0.27142203118323455
Fp1,F6,0.16062985761887424
Fp1,Ft7,0.18382035581206818
Fp1,Ft8,0.26068630469554993
Fp1,P7,0.18925540306649266
Fp1,Po3,0.2438864459292147
Fp1,Po4,0.16860166546029778
Fp1,Po8,0.2208743311135444
Fp1,Oz,0.197756683020589
Fp1,Iz,0.20153964908895866
Fpz,Fc2,0.1580375795802149
Fpz,C4,0.1599361969240399
Fpz,Cp4,0.2859016169729917
Fpz,Af7,0.21048162793944009
Fpz,Afz,0.16563967877687605
Fpz,F2,0.26356645573151666
Fp2,Fc3,0.23986662831046196
Fp2,Fcz,0.2148935235893559
Fp2,Fc2,0.15544017313693156
Fp2,C3,0.16930751747650946
Fp2,Cp4,0.22756693767576608
Fp2,Fpz,0.16143340794158484
Fp2,Afz,0.16317549386151362
Fp2,F2,0.2186140785415525
Fp2,F4,0.20177628002626494
Fp2,F6,0.1940023420702713
Fp2,Ft8,0.1664122743291657
Fp2,P1,0.1547293210677306
Fp2,Po7,0.1699870211460443
Fp2,Po3,0.15758129915326413
Af7,Fc5,0.2339185238373314
Af7,Fc3,0.15301153919705804
Af7,Fc1,0.21399619339262313
Af7,Fcz,0.17724745166369227
Af7,C5,0.2424921872146854
Af7,Fpz,0.3336251737350413
Af7,Af3,0.307532392172301
Af7,F7,0.320624408348203
Af7,F1,0.15500368034490664
Af7,Fz,0.20743263204805015
Af7,F2,0.15602105316341777
Af7,F6,0.1909317780144895
Af7,Ft7,0.24200511165031227
Af7,P5,0.16284785751051722
Af7,P3,0.2250479277523013
Af7,P6,0.15720107089823906
Af7,P8,0.20318932183226332
Af7,Po4,0.1523743253650959
Af3,Fcz,0.16105720156497091
Af3,Fc2,0.2138568803891227
Af3,C4,0.158982273205816
Af3,Cp4,0.19176225266242256
Af3,Af7,0.21746616831818952
Af3,F3,0.23446762727691503
Af3,F1,0.31688173712447754
Af3,F2,0.15762111477619492
Af3,P7,0.169253884369494
Af3,P8,0.1679976032494281
Af3,Po7,0.21056420786743632
Af3,Po3,0.164752788627232
Afz,Fc3,0.159983012210105
Afz,Fcz,0.16002554348992706
Afz,Fz,0.1943948387896706
Afz,F2,0.20392710365778902
Afz,F4,0.18838797034341007
Af4,F2,0.27771554189695385
Af4,F4,0.40866515364224404
Af4,Po8,0.15530262114969753
Af8,Cp3,0.15784661163408978
Af8,Cp1,0.1716573711834888
Af8,F4,0.2951477372356335
Af8,F6,0.33843375251899455
Af8,F8,0.15226999797114846
Af8,P5,0.15601142129947512
Af8,P3,0.2112616789233736
F7,Fc5,0.262216279478059
F7,Fcz,0.17875497101207297
F7,F6,0.16572341299966864
F7,Ft7,0.2493021736486463
F7,P2,0.16727218083625842
F5,Fc3,0.18129944275248977
F5,Fcz,0.17474236896885526
F5,Fc2,0.1863343718400991
F5,Cz,0.1653440047423318
F5,Cp3,0.1635582089979549
F5,Af7,0.178861151380048
F5,F3,0.37985508229751713
F5,F1,0.25248387986513715
F5,P5,0.1542030867956117
F5,Pz,0.19647780934743037
F5,P2,0.16472996195577125
F5,Poz,0.1575011124956039
F3,Fc3,0.16689580486392766
F3,Fcz,0.16734936970847694
F3,F1,0.28469015351468446
F3,P3,0.16326248176949018
F3,Po3,0.15705083190452254
F3,Po4,0.1527661919124791
F1,Fcz,0.17339609217132887
F1,Fz,0.1718851997471303
F1,Po3,0.18590675495774492
Fz,Fc3,0.16030275038835498
Fz,Fcz,0.18444500511619152
Fz,Afz,0.17683990528917687
Fz,F2,0.17007068510540416
Fz,Po3,0.15728387621054335
Fz,Po8,0.1673401931484987
F2,Fc3,0.17397139753481292
F2,Fz,0.172839976861291
F2,F4,0.20097344304514334
F2,Po3,0.15714467788900696
F2,Po8,0.15221839731223857
F4,Fc3,0.17761644818293942
F4,Fc4,0.15332841996261556
F4,C4,0.16133065199880742
F4,F2,0.17885918226731018
F6,Fc6,0.2013634577720403
F6,F2,0.2324771682553268
F6,F4,0.22903978805142108
F8,Fc6,0.18301672764489602
F8,C4,0.15368157777290195
F8,Cp4,0.19763711635183304
F8,Fz,0.16163647088168154
F8,F4,0.2042440299459098
T7,Fc5,0.418604776874954
T7,Fc3,0.22797903934408575
T7,Fc1,0.3991719272790811
T7,Fc2,0.31317762621047784
T7,Fc6,0.19600875167792298
T7,C5,0.4966831265211981
T7,C3,0.21121824635609585
T7,C1,0.281461089192426
T7,C6,0.17944326074606454
T7,Cp5,0.2527398867143904
T7,Cp1,0.1521144596449894
T7,Cpz,0.23754990757929312
T7,Cp2,0.21207238575513934
T7,Cp4,0.24627338601371468
T7,Cp6,0.15679554821805575
T7,Fp2,0.1894801664127422
T7,Afz,0.156605281684482
T7,F3,0.36194325973570146
T7,F2,0.21973464992644193
T7,Ft7,0.18614215817353716
T7,Ft8,0.2081515858739624
T7,Tp7,0.31151949403520723
T7,P7,0.17482628776773518
T7,P1,0.19704691914726696
T7,P6,0.20352416761118003
T7,Po4,0.1707114243621937
T7,Oz,0.15416560669240661
T7,O2,0.17427791844663795
T7,Iz,0.15954089337533667
T8,C3,0.19900002436140202
T8,C4,0.17234235580043553
T8,C6,0.1582621606071807
T8,Cp1,0.16037926081750478
T8,Ft8,0.1564738898684103
T8,T10,0.3403874123158162
T8,Tp8,0.2999626564368032
T8,P2,0.20078136093151994
T8,P6,0.18551744777686535
T8,P8,0.19247829387948948
T9,Ft7,0.1643131650668833
T9,P1,0.1741291088058163
T10,Ft8,0.2214142732731064
T10,T8,0.17221184084674077
T10,Po8,0.16045383239964697
Tp7,C1,0.17216771344401424
Tp7,Cp5,0.210408419001521
Tp7,Cp3,0.17209418884802294
Tp7,P7,0.35623878752779115
Tp7,P3,0.17107755829499383
Tp7,P1,0.20843661841499153
Tp7,Po7,0.15160362223044832
Tp8,P2,0.15571413855028002
Tp8,P8,0.214286568935012
P7,Tp7,0.16718969391537888
P7,Po7,0.29952259268642484
P7,Oz,0.15642984662822798
P7,Iz,0.15422219991064368
P5,C6,0.1657984344931017
P5,Cp1,0.16445079239784754
P5,P1,0.1608126838016998
P5,Po7,0.21356087483673128
P5,Po4,0.1680218034965056
P5,Oz,0.16227722274607187
P5,Iz,0.16081195556534641
P3,C6,0.17359675647613512
P3,Cp1,0.1566411035815794
P3,P1,0.1901441120216778
P3,Po4,0.16267562742574693
P3,Oz,0.16292786794070874
P3,Iz,0.16148575918086616
P1,Cz,0.15300025108228685
P1,C6,0.16568173184611612
P1,Cp1,0.16078660704615375
P1,P7,0.17206500407294534
P1,Po4,0.1689195693493406
P1,Oz,0.16779240129546744
P1,Iz,0.16683053682599777
Pz,Cz,0.18903903559204702
Pz,C6,0.1750419344639672
Pz,Cp1,0.16983991395555573
Pz,P1,0.16252248118264534
Pz,Po4,0.20142729085068867
Pz,Oz,0.16781551570946418
Pz,Iz,0.16562106995262563
P2,Cz,0.15315151513602598
P2,C2,0.1535606607108887
P2,C6,0.170894583739877
P2,Po4,0.21371335359757634
P2,Oz,0.1661398970765113
P2,Iz,0.16279230390544733
P4,C3,0.15724015263057503
P4,C6,0.17242381511661634
P4,Cp1,0.15708566101342794
P4,Po4,0.19661528429603647
P4,Oz,0.15871530256320787
P4,Iz,0.15587485335155546
P6,C3,0.17741497052836433
P6,C6,0.15681268929170233
P6,Po4,0.18694796044821002
P8,C3,0.15221901089338163
P8,Po8,0.19823274454302034
Po7,P6,0.1791405589914585
Po7,P8,0.15871101393832973
Po7,O1,0.3851254539252186
Po3,C6,0.1621108553287735
Po3,Cp3,0.15261676213480868
Po3,P7,0.1573520325621306
Po3,P1,0.22162972889456553
Po3,P8,0.15889800924419262
Po3,Po7,0.27827692743675364
Po3,O1,0.25116724259629836
Poz,C6,0.1646247727200502
Poz,Cp5,0.16165424896709402
Poz,Cp1,0.17998531962799985
Poz,P7,0.18704704439129616
Poz,P1,0.25069021711563505
Poz,Pz,0.17621557682742106
Poz,P8,0.17936353424632792
Poz,Po4,0.20876642781906057
Poz,O1,0.16823179163631816
Poz,Oz,0.15403252551805469
Po4,C6,0.16713227930839625
Po4,P8,0.18181694495744988
Po8,C3,0.1879279469821377
Po8,P6,0.2179270373011444
Po8,P8,0.16328383496707247
Po8,Po4,0.17001091503909685
Po8,O1,0.21665142960716244
Po8,Oz,0.16192154862583738
Po8,O2,0.17458286279542692
Po8,Iz,0.1536401078093856
O1,C4,0.15823800950733874
O1,C6,0.15772140785344463
O1,Cp5,0.15594881066426838
O1,P7,0.2555663480567143
O1,P1,0.1735731375909666
O1,P6,0.17131023426113612
O1,P8,0.20454269522759447
O1,Po7,0.46067914155092354
O1,Po8,0.1631663908292088
Oz,Fc1,0.16949671465497532
Oz,P6,0.16208564101275597
Oz,P8,0.2278267247088519
Oz,Poz,0.19031760961115401
Oz,Po8,0.1947399312540212
Oz,O1,0.3968945977235586
Oz,Iz,0.1626686028423914
O2,Fc1,0.18498241877695495
O2,Fc2,0.1795268002233876
O2,Fc4,0.16033792034187228
O2,C3,0.1571788368505677
O2,C4,0.16780292841312333
O2,C6,0.20898281649067557
O2,Cp1,0.17505277056622429
O2,P7,0.1945625424473675
O2,Pz,0.18846728014791464
O2,P2,0.16378770945966634
O2,P6,0.3376110542137282
O2,P8,0.30379545458234686
O2,Po7,0.18911061062222137
O2,Po4,0.30004467064427043
O2,Po8,0.38294813016157103
O2,O1,0.2665387638070418
O2,Oz,0.21495112711857586
O2,Iz,0.20054929633853738
Iz,Fc1,0.16738913908380648
Iz,C6,0.15390932438249882
Iz,P6,0.1676602086141695
Iz,P8,0.23104758679020662
Iz,Poz,0.19276463102157407
Iz,Po8,0.1987999874465582
Iz,O1,0.40612550379465345
