start_node,end_node,weight
Fc5,Fc3,0.21627604745397952
Fc5,Fc4,0.14836942241114792
Fc5,F3,0.3409403027761914
Fc5,F2,0.18190917097520423
Fc5,Po4,0.28230923922785567
Fc5,Oz,0.4777115376438339
Fc5,Iz,0.4269240994717541
Fc3,F3,0.1839780711987091
Fc3,Po4,0.2783084082355355
Fc3,Oz,0.5504098039240187
Fc3,Iz,0.4694832177903565
Fc1,Fc3,0.14493259366076644
Fc1,Fz,0.1769585635690157
Fc1,F2,0.18668371837701728
Fc1,Po4,0.27090225276006175
Fc1,Oz,0.5700893539816811
Fc1,Iz,0.4710556473455964
Fcz,Fz,0.21539389316946114
Fcz,F2,0.23249259685862514
Fcz,P2,0.14671698120852902
Fcz,P4,0.16353235505479363
Fcz,Po4,0.24380971189406672
Fcz,Oz,0.57982501333945
Fcz,Iz,0.4662836460547381
Fc2,C4,0.1429769498054987
Fc2,Cp6,0.14637900891222
Fc2,F2,0.30894822396480315
Fc2,P4,0.19222723004174425
Fc2,Po4,0.24566941292679007
Fc2,Oz,0.5646312255210627
Fc2,Iz,0.44369180267677427
Fc4,C4,0.1978101477254338
Fc4,F2,0.30529380189823757
Fc4,P4,0.21154277483620473
Fc4,Po4,0.2349910625270274
Fc4,Oz,0.5453062507404898
Fc4,Iz,0.4198986787604911
Fc6,C4,0.26961511978068553
Fc6,Cp6,0.14760028885184395
Fc6,F2,0.3032061575928905
Fc6,F4,0.14968779837677418
Fc6,P4,0.23979897979151052
Fc6,Po4,0.22495276198937048
Fc6,Oz,0.5298621152386002
Fc6,Iz,0.41658159253262883
C5,Fc3,0.14645828108233458
C5,Fc4,0.14539004757912533
C5,F3,0.1756837095944634
C5,Po4,0.29855359006952903
C5,Oz,0.5843814797845969
C5,Iz,0.504618881985226
C3,Cp1,0.1550818759822789
C3,Po4,0.29603880085580747
C3,Oz,0.6005220653698147
C3,Iz,0.5077640711084885
C1,Cp1,0.15138378240340955
C1,Po4,0.29004272440826967
C1,Oz,0.5950684188106651
C1,Iz,0.4835084757049391
Cz,Cp6,0.17154851387849382
Cz,P2,0.18793587720193367
Cz,P4,0.17896038793638652
Cz,P6,0.148253666181408
Cz,Po4,0.2803588654165576
Cz,Oz,0.6046018464248349
Cz,Iz,0.4865359619610919
C2,Cz,0.14867545122098325
C2,Cp6,0.1625409268168374
C2,P2,0.17875879318891438
C2,P4,0.22303120816341793
C2,Po4,0.28009790066650603
C2,Oz,0.6045507013564729
C2,Iz,0.4755196776160284
C4,Cp6,0.16115886991891568
C4,F2,0.14999935398192493
C4,P2,0.1538093262529529
C4,P4,0.25667630129283237
C4,Po4,0.25223211496848125
C4,Oz,0.5750938928037213
C4,Iz,0.44001801033333215
C6,Cp1,0.1506178061953019
C6,Cp6,0.22982773650794547
C6,P4,0.2687618202582277
C6,Po4,0.2073186495554667
C6,Oz,0.568379184878803
C6,Iz,0.43560741990990953
Cp5,C3,0.16364349566747804
Cp5,Po4,0.27201914477748484
Cp5,Oz,0.6046178935928012
Cp5,Iz,0.5061289501551102
Cp3,C3,0.22085077008093537
Cp3,Cp1,0.18814311620816587
Cp3,Po4,0.3013879736080421
Cp3,Oz,0.5601021889905734
Cp3,Iz,0.4579787110420398
Cp1,C3,0.14529811811757395
Cp1,P6,0.1493692215437132
Cp1,Po4,0.2988281539673688
Cp1,Oz,0.5857827829635626
Cp1,Iz,0.4714177027923184
Cpz,Cz,0.1497203812281356
Cpz,Cp1,0.14916864574412933
Cpz,P2,0.15476508599466826
Cpz,P6,0.15699777898835104
Cpz,Po4,0.28608296786600207
Cpz,Oz,0.5781189682527355
Cpz,Iz,0.46836292176800803
Cp2,Cz,0.1450095998730824
Cp2,Cp1,0.1555735105874848
Cp2,P2,0.176422941263603
Cp2,P4,0.20124825273824723
Cp2,P6,0.15318610181596687
Cp2,P8,0.15448716114561692
Cp2,Po4,0.2953320927034197
Cp2,Oz,0.5698429933120399
Cp2,Iz,0.4533328426089909
Cp4,Cp1,0.1522726518090546
Cp4,Cp6,0.17134073220620696
Cp4,P2,0.14395437560779864
Cp4,P4,0.23531101281087002
Cp4,Po4,0.2577015229057009
Cp4,Oz,0.597189475711506
Cp4,Iz,0.454299545806528
Cp6,Cp1,0.16026076463027517
Cp6,P4,0.20572412578983906
Cp6,Po4,0.22361163788266783
Cp6,Oz,0.6650661266279567
Cp6,Iz,0.5037710524729133
Fp1,Fc3,0.27045008367308604
Fp1,Cp1,0.17528278111753026
Fp1,Fz,0.1781101233267877
Fp1,F2,0.27629794409924924
Fp1,P4,0.14426076333459992
Fp1,Po4,0.17324526345127447
Fp1,Oz,0.46528367092358003
Fp1,Iz,0.41175579356290015
Fpz,Fc3,0.24380888582334942
Fpz,Cp1,0.19816695107399526
Fpz,Fz,0.19270340429713145
Fpz,F2,0.3403211403942504
Fpz,P4,0.1567728302569828
Fpz,Po4,0.17607877683859585
Fpz,Oz,0.44424302403019256
Fpz,Iz,0.4157477937038887
Fp2,Fc3,0.2233441777226464
Fp2,Fcz,0.1716534569455701
Fp2,Fc4,0.16819336581929084
Fp2,Cp1,0.21493878531305577
Fp2,Fz,0.21869287238103377
