Channel,delta,theta,alpha,beta,gamma,max_energy_band,Frontal Lobe,Temporal Lobe,Parietal Lobe,Occipital Lobe,Central Region,Region
Fc5,4.969873452213547e-09,8.450601714654868e-10,4.742168291743016e-10,8.713618044558939e-10,5.023967096955438e-10,delta,1,0,0,0,1,Frontal-Central
Fc3,3.949706551461966e-09,7.904646742839799e-10,7.292280307564331e-10,8.00233408101468e-10,2.8987149932121436e-10,delta,1,0,0,0,1,Frontal-Central
Fc1,4.393417923512665e-09,9.148014806685318e-10,9.90143646877364e-10,9.310531556379611e-10,2.4095929035462247e-10,delta,1,0,0,0,1,Frontal-Central
Fcz,4.420397568640488e-09,1.0194169457379027e-09,1.1983646669148538e-09,1.1808286629159097e-09,2.4338546694868965e-10,delta,1,0,0,0,1,Frontal-Central
Fc2,5.390883556519855e-09,9.425018775283464e-10,1.0380119023929256e-09,9.373227416237248e-10,2.1554492856800408e-10,delta,1,0,0,0,1,Frontal-Central
Fc4,5.847912947969888e-09,8.230291719908879e-10,8.405586063745267e-10,7.688843005879157e-10,1.9320023484687072e-10,delta,1,0,0,0,1,Frontal-Central
Fc6,8.275471052647873e-09,8.010595975946059e-10,5.517297770275598e-10,6.383858752831185e-10,2.268034208772756e-10,delta,1,0,0,0,1,Frontal-Central
C5,2.8500595349308432e-09,5.365510784664814e-10,4.177296166866762e-10,9.385403758972454e-10,6.572875242428071e-10,delta,0,0,0,0,1,Central Region
C3,2.6095673521258568e-09,6.17117464339987e-10,7.662804228507046e-10,8.483844733714589e-10,2.7976245700034146e-10,delta,0,0,0,0,1,Central Region
C1,3.0370364865013167e-09,7.548267176682532e-10,1.1555270553780752e-09,1.116566389821465e-09,2.5655496459075456e-10,delta,0,0,0,0,1,Central Region
Cz,2.8209815830656764e-09,7.992193636577949e-10,1.3592791919667013e-09,1.6802834893265471e-09,2.7293858783138805e-10,delta,0,0,0,0,1,Central Region
C2,3.013350239483343e-09,6.854101588217199e-10,1.202338478919455e-09,1.0857703295312327e-09,2.1098924251133878e-10,delta,0,0,0,0,1,Central Region
C4,3.127889143154973e-09,5.491801958103823e-10,8.684934412703396e-10,7.069510037928694e-10,1.8306300812742952e-10,delta,0,0,0,0,1,Central Region
C6,3.6629589688458267e-09,4.0777607209572575e-10,5.346237895998252e-10,5.012124016465383e-10,2.3694863686234944e-10,delta,0,0,0,0,1,Central Region
Cp5,2.027713854322142e-09,5.078806924035995e-10,5.188545208404099e-10,6.588300126752663e-10,2.612122200226175e-10,delta,0,0,1,0,1,Central-Parietal
Cp3,2.1608659478676667e-09,6.167681302707969e-10,9.589892059378072e-10,9.151040895831123e-10,2.52625446245705e-10,delta,0,0,1,0,1,Central-Parietal
Cp1,1.9158871001137626e-09,5.960026319682692e-10,1.3336787527974271e-09,1.1119622003542645e-09,2.1892446111099095e-10,delta,0,0,1,0,1,Central-Parietal
Cpz,2.2144685748605705e-09,7.284156164514869e-10,1.9222922508385555e-09,1.4546495163194198e-09,2.5265492671170146e-10,delta,0,0,1,0,1,Central-Parietal
Cp2,2.0615889319540464e-09,6.192835942723724e-10,1.5266497395362312e-09,1.0875507872587218e-09,1.9729355369438935e-10,delta,0,0,1,0,1,Central-Parietal
Cp4,1.8537060182554393e-09,4.256830835378941e-10,1.083853531076539e-09,7.653710271295446e-10,1.883015541245714e-10,delta,0,0,1,0,1,Central-Parietal
Cp6,1.5633498034494368e-09,3.0629739437533434e-10,6.657323607497777e-10,5.034398532804341e-10,1.9998984293258167e-10,delta,0,0,1,0,1,Central-Parietal
Fp1,5.564738516297259e-08,3.6866645048522497e-09,8.571027743813287e-10,1.1504634960354317e-09,7.881950099707965e-10,delta,1,0,0,0,0,Frontal Lobe
Fpz,5.3351615065894015e-08,3.5433012522540704e-09,8.0403484538002e-10,6.838404107407447e-10,3.5884217565529294e-10,delta,1,0,0,0,0,Frontal Lobe
Fp2,5.6259443801908193e-08,3.3933357268139774e-09,7.306411247245042e-10,8.705189286602058e-10,5.936232736244045e-10,delta,1,0,0,0,0,Frontal Lobe
Af7,6.226425955653762e-08,4.448181091885539e-09,9.240643068104906e-10,2.1784491056562997e-09,1.6752565771585047e-09,delta,1,0,0,0,0,Frontal Lobe
Af3,2.3381108840694068e-08,2.1682712399564813e-09,7.778925253943164e-10,9.337441324601465e-10,4.916339709689861e-10,delta,1,0,0,0,0,Frontal Lobe
Afz,2.0909450466136548e-08,1.7919068063394629e-09,8.488756068829901e-10,7.005130630133833e-10,2.0498268460950356e-10,delta,1,0,0,0,0,Frontal Lobe
Af4,2.4871214954124527e-08,1.8038801205112062e-09,7.380585290728344e-10,9.0631786363098e-10,5.017301498212223e-10,delta,1,0,0,0,0,Frontal Lobe
